platform,signal,probe,claim,verdict,correction,evidence,reconciled
GCP,identity_granularity,"Verify the IAM Conditions claim that resource-based conditions are supported only by a subset of services, including the exact quote and the Cloud Storage uniform bucket-level access requirement.",Resource-based IAM Conditions are only supported by a subset of services/resource types ('Only some resource types accept conditions in role bindings'); Cloud Storage requires uniform bucket-level access for bucket conditions; conditions cannot be attached to basic roles or allUsers/allAuthenticatedUsers grants.,confirmed,,https://cloud.google.com/iam/docs/conditions-resource-attributes,
GCP,identity_granularity,Verify that user-managed service account keys never expire by default and Google's exact wording.,"User-managed SA keys, per Google, 'don't have an expiry time and stay valid until you delete them'; by default a created key never expires.",confirmed,,https://cloud.google.com/iam/docs/best-practices-for-managing-service-account-keys,
GCP,identity_granularity,Verify the org-policy constraint name for SA key expiry hours.,A project/folder/org-level key-expiry setting exists: constraints/iam.serviceAccountKeyExpiryHours.,confirmed,,https://docs.cloud.google.com/organization-policy/restrict-service-accounts,
GCP,identity_granularity,Verify the IAM Credentials API impersonation token default expiry of 1 hour.,generateAccessToken/generateIdToken tokens default to 1-hour expiry.,confirmed,"Confirmed: default lifetime is 1 hour (3,600s); max can be extended to 12 hours via the constraints/iam.allowServiceAccountCredentialLifetimeExtension list constraint.",https://docs.cloud.google.com/iam/docs/create-short-lived-credentials-direct,
GCP,identity_granularity,Verify WIF external tokens default to ~1-hour expiry and that Google documents the multi-tenant attribute-condition footgun.,"WIF external workload tokens default to ~1-hour expiry, and Google explicitly documents the multi-tenant footgun (need attribute conditions to restrict to trusted tenant/org for GitHub, Terraform Cloud, etc.).",confirmed,,https://docs.cloud.google.com/iam/docs/best-practices-for-using-workload-identity-federation,
GCP,identity_granularity,"Verify the GKE WIF direct-binding model: a principal://...svc.id.goog IAM binding that removes the extra Google SA and KSA annotation, vs impersonation via roles/iam.workloadIdentityUser.","WIF for GKE supports a direct IAM binding referencing the KSA (principal://...svc.id.goog) which removes the extra Google SA and KSA annotation, OR impersonation via roles/iam.workloadIdentityUser on a Google SA bound to PROJECT.svc.id.goog[namespace/ksa].",confirmed,"Confirmed. Direct resource access (principal:// member, no GSA, no KSA annotation) went GA April 2024 and is Google's recommended mode for new workloads; the impersonation model via roles/iam.workloadIdentityUser remains supported.",https://docs.cloud.google.com/kubernetes-engine/docs/concepts/workload-identity,
GCP,identity_granularity,Verify the API keys claim that standard keys do not identify a principal and are not authentication.,Standard API keys associate a request with a project for billing/quota and 'do not identify a principal'; they are not authentication. Authorization keys bound to a service account DO authenticate as that SA.,confirmed,,https://docs.cloud.google.com/docs/authentication/api-keys,
GCP,identity_granularity,Verify Cloud Run secret injection behavior: env vars resolved at instance start vs volume mounts fetching latest value at read time.,"Cloud Run can inject Secret Manager secrets as env vars OR as a mounted volume; volume mounts fetch the latest value at read time, env vars are resolved at instance start.",confirmed,,https://docs.cloud.google.com/run/docs/configuring/services/secrets,
GCP,identity_granularity,Verify the managed Google Cloud MCP server dual-gate model: roles/mcp.toolUser (Gate 1) plus a separate data-access role like roles/logging.viewer (Gate 2).,Managed MCP servers use a dual-gate model: roles/mcp.toolUser to call the protocol (Gate 1) plus a separate data-access role like roles/logging.viewer (Gate 2).,confirmed,"Confirmed against current Google Cloud MCP IAM docs: to use Google Cloud remote MCP servers an identity needs roles/mcp.toolUser plus the service-specific role (e.g., roles/logging.viewer). Both gates must be satisfied.",https://docs.cloud.google.com/mcp/access-control,
GCP,identity_granularity,"Although the draft for this signal names no CISO, the red-team brief flags the Google Cloud CISO seat as having changed — verify current holder so no stale name is implied.",(Not asserted in the draft.) Implicit currency check: who is Google Cloud's CISO as of 2026?,outdated,"No CISO is named anywhere in this signal's draft findings, so there is no stale name to correct in the draft itself. For currency: Phil Venables (Google Cloud's first CISO, since 2020) stepped down from the CISO role in March 2025 and moved to a part-time strategic security advisor role (later joining Ballistic Ventures). As of the latest public sources, Google Cloud had not publicly named a successor CISO. If any other section of the assessment names Phil Venables as the current/sitting Google Cloud CISO, that should be corrected to 'former CISO (through March 2025).'",https://www.channelfutures.com/people-on-the-move/google-cloud-ciso-vacates-post-after-4-years,true
GCP,supply_chain,"Is the Container Registry (gcr.io) shutdown timeline as stated (write unavailable Mar 18 2025; GKE read loss Jun 3 2025; full cutover Oct 14 2025) correct, and are the gcr.io hostnames now backed by Artifact Registry gcr.io repositories?","Container Registry is fully shut down: writing became unavailable March 18, 2025; GKE lost the ability to read Container Registry images June 3, 2025; on October 14, 2025 all gcr.io URLs are served from Artifact Registry and uncopied images become unavailable. The gcr.io/us./eu./asia.gcr.io hostnames are backed by Artifact Registry 'gcr.io repositories' so existing pull URLs keep working.",confirmed,"Accurate as written. Google's transition docs state writing to Container Registry became unavailable on March 18, 2025; GKE stopped being able to read Container Registry-stored images on June 3, 2025; and on October 14, 2025 all gcr.io URLs are served from Artifact Registry with any images not copied to Artifact Registry becoming unavailable. The gcr.io repositories mapping doc confirms gcr.io->us/gcr.io, us.gcr.io->us/us.gcr.io, eu.gcr.io->europe/eu.gcr.io, asia.gcr.io->asia/asia.gcr.io, so existing pull URLs keep working. Secondary source: https://docs.cloud.google.com/artifact-registry/docs/transition/gcr-repositories",https://docs.cloud.google.com/artifact-registry/docs/transition/prepare-gcr-shutdown,
GCP,supply_chain,"Is Binary Authorization a native deploy-time admission gate for GKE AND Cloud Run, and is Cloud Run support GA?","Binary Authorization is a native deploy-time admission-control gate for GKE, GKE Autopilot, Cloud Run, and Distributed Cloud/Anthos, with 'Block and Audit Log' (enforce) and 'Dry Run: Audit Log Only' modes.",confirmed,"Accurate. Binary Authorization for Cloud Run is generally available; Binary Authorization provides centralized deploy-time supply-chain enforcement across GKE, Cloud Run, and Google Distributed Cloud, with the two enforcement modes as described. Overview: https://docs.cloud.google.com/binary-authorization/docs/overview",https://cloud.google.com/run/docs/securing/binary-authorization,
GCP,supply_chain,"Does Artifact Analysis provide automatic on-push scanning plus continuous re-evaluation, and on-demand scanning for CI?","Artifact Analysis provides automatic on-push scanning of images in Artifact Registry plus continuous re-evaluation as new CVE data arrives, with effective-severity scoring and fix metadata, plus on-demand scanning for CI.",confirmed,"Accurate, with one nuance worth noting: continuous analysis keeps re-evaluating images only as long as they have been pulled within the last 30 days. On-push automatic scanning, continuous analysis, and on-demand (gcloud) scanning are all confirmed.",https://docs.cloud.google.com/artifact-analysis/docs/container-scanning-overview,
GCP,supply_chain,"Is node auto-upgrade the default on new GKE clusters, and can GKE auto-install a default NVIDIA GPU driver on COS Standard node pools?","Node auto-upgrade is the default on new GKE clusters; on GKE Standard with COS, GKE can auto-install a default NVIDIA GPU driver matched to the GKE version.",confirmed,Accurate. New Standard clusters and node pools have auto-upgrade enabled by default. GKE automatically installs a default NVIDIA driver for COS GPU nodes on recent control-plane versions (e.g. all GPU nodes incl. node auto-provisioning on 1.32.2-gke.1297000+; non-NAP nodes on 1.30.1-gke.1156000+). GPU detail: https://docs.cloud.google.com/kubernetes-engine/docs/how-to/gpus,https://docs.cloud.google.com/kubernetes-engine/docs/how-to/node-auto-upgrades,
GCP,supply_chain,"On Shielded VM images, does Compute Engine enable vTPM and integrity monitoring by default (and is Secure Boot NOT default-on)?","On Shielded VM images, Compute Engine enables vTPM and integrity monitoring by default.",confirmed,Accurate. vTPM and integrity monitoring are enabled by default on Shielded VM instances. (Note: Secure Boot is NOT enabled by default because unsigned drivers may be incompatible; the draft correctly does not claim Secure Boot is default-on.),https://cloud.google.com/compute/shielded-vm/docs/shielded-vm,
GCP,supply_chain,"Are Confidential VM with AMD SEV-SNP and Intel TDX, and Confidential GKE Nodes, generally available?","Confidential VM encrypts memory in use via AMD SEV/SEV-SNP and Intel TDX, with Confidential GKE node pools available.",confirmed,Accurate. AMD SEV-SNP on Confidential VM is GA; Intel TDX on C3 is GA; Confidential GKE Nodes are GA with both AMD SEV-SNP and Intel TDX (on GKE Standard and Autopilot for TDX). Confidential GKE detail: https://docs.cloud.google.com/kubernetes-engine/docs/how-to/confidential-gke-nodes,https://docs.cloud.google.com/confidential-computing/confidential-vm/docs/release-notes,
GCP,supply_chain,"Does Cloud EKM keep external key material outside Google ('never cached or stored within Google Cloud'), with EXTERNAL and EXTERNAL_VPC protection levels?",Cloud EKM key material is 'never cached or stored within Google Cloud'; two protection levels exist: EXTERNAL (internet) and EXTERNAL_VPC (via VPC).,confirmed,Accurate. Google's EKM docs state externally managed keys are never cached or stored within Google Cloud and the key is never sent to Google; protection levels EXTERNAL (over the internet) and EXTERNAL_VPC (over a VPC network) are confirmed.,https://docs.cloud.google.com/kms/docs/ekm,
GCP,supply_chain,"For the GKE Secret Manager add-on managed rotation, is the minimum sync interval 1 minute and the default ~2 minutes, in GKE 1.32.2-gke.1059000+?","The GKE Secret Manager add-on (CSI) supports managed auto-rotation with sync interval default ~2 minutes, minimum 1 minute, in GKE 1.32.2-gke.1059000+.",refuted,"The version and feature set are correct (auto-rotation supported in GKE 1.32.2-gke.1059000+, with CMEK, fine-grained IAM, and audit logging), but the rotation-interval figures are wrong. The documented MINIMUM allowed rotation interval is 120 seconds (2 minutes), not 1 minute, and there is NO documented default value -- the interval must be set explicitly (via secret-manager-rotation-interval) when enabling rotation. Restate as: 'managed auto-rotation with a configurable rotation interval (minimum 120 seconds / 2 minutes; no default -- must be set explicitly), in GKE 1.32.2-gke.1059000+.'",https://docs.cloud.google.com/secret-manager/docs/secret-manager-managed-csi-component,true
GCP,supply_chain,"For organizations created on/after May 3, 2024, does the secure-by-default org policy bundle include UBLA, disabling service-account-key creation/upload, and blocking automatic Editor grants to default service accounts?","For organizations created on or after May 3, 2024, Google enforces a secure-by-default org policy bundle including UBLA (storage.uniformBucketLevelAccess), disabling service-account-key creation and upload, and blocking Editor on default service accounts.",confirmed,"Accurate. The baseline enforced for orgs created on/after May 3, 2024 includes constraints/storage.uniformBucketLevelAccess, iam.managed.disableServiceAccountKeyCreation, iam.managed.disableServiceAccountKeyUpload, and iam.automaticIamGrantsForDefaultServiceAccounts (which is what blocks the automatic Editor grant to default service accounts), plus iam.allowedPolicyMemberDomains, essentialcontacts.managed.allowedContactDomains, and compute.managed.restrictProtocolForwardingCreationForTypes. Note: storage.publicAccessPrevention is NOT part of this bundle -- the draft does not claim it is, so the finding is consistent, but PAP should not be conflated with the secure-by-default set.",https://docs.cloud.google.com/resource-manager/docs/secure-by-default-organizations,
GCP,supply_chain,Does Google Cloud Marketplace review include vulnerability scanning of VM images and a third-party OWASP ASVS assessment for apps requesting restricted user data?,"Marketplace products undergo technical/security/compliance review including scanning the VM image for vulnerabilities, and apps requesting restricted user data are assessed by a third-party firm against OWASP ASVS.",confirmed,"Accurate. Apps accessing restricted user data must undergo an annual independent (Google-approved third-party lab) Cloud Application Security Assessment (CASA) built on OWASP ASVS (assessed across the ASVS categories, covering access control, architecture, threat modeling, data protection, error handling). Marketplace's general review covers technical/security/compliance and includes VM-image vulnerability scanning. Google CASA reference: https://support.google.com/cloud/answer/13465431",https://owasp.org/www-project-application-security-verification-standard/,
GCP,supply_chain,Red-team check (not in draft): is the current Google Cloud CISO still Phil Venables?,Background check on the current Google Cloud CISO seat (no CISO is named in this signal's draft findings).,outdated,"Not a draft correction -- no CISO is named anywhere in this supply-chain signal's findings, so nothing here is wrong. Flag for whoever owns the overall report: Phil Venables stepped down as Google Cloud CISO in March 2025 (moving to a part-time strategic security advisor role and external board/VC seats). Do NOT let a 'Phil Venables, Google Cloud CISO' statement stand as current anywhere else in the assessment. I could not confirm the name of his successor from current public sources, so the current seat-holder is uncertain and should be re-verified before publishing any CISO name.",https://www.channelfutures.com/people-on-the-move/google-cloud-ciso-vacates-post-after-4-years,true
GCP,org_maturity,"Is Google Cloud's CISO leadership structure as the draft states (Venables out March 2025, deSouza as COO/President Security Products, Office of the CISO led by Nick Godfrey, no single successor CISO)?","Phil Venables stepped down as Google Cloud's first CISO in March 2025 to a part-time advisor role; Google did not name a single successor CISO but consolidated security-product leadership under Francis deSouza (COO and President, Security Products) and runs an Office of the CISO led by Nick Godfrey (Senior Director).",confirmed,"Accurate. Francis deSouza joined Google in January 2025 as COO and President, Security Products, Google Cloud. Nick Godfrey is Senior Director and global head of the Office of the CISO. Venables stepped down as CISO in March 2025 (now a part-time Strategic Security Advisor / Ballistic Ventures venture partner). No single 'CISO' successor was named.",https://www.googlecloudpresscorner.com/Francis-deSouza,
GCP,org_maturity,"Is Container Registry / gcr.io actually shut down, and on what date?",Container Registry (gcr.io) is being shut down.,confirmed,"Confirmed. Container Registry shut down for writes on March 18, 2025; GKE stopped reading Container Registry-stored images on June 3, 2025. Artifact Registry is the replacement; gcr.io URLs continue to work but are served from Artifact Registry (gcr.io domain is not dead, only the legacy Container Registry backend).",https://docs.cloud.google.com/artifact-registry/docs/transition/prepare-gcr-shutdown,
GCP,org_maturity,"Is Cloud Source Repositories really closed to new customers, and when?",Cloud Source Repositories is closed to new customers.,confirmed,"Confirmed. Effective June 17, 2024, Cloud Source Repositories is not available to new customers; orgs that hadn't used it before that date cannot enable the API. Existing customers are unaffected. Developer Connect / Secure Source Manager are the recommended replacements.",https://cloud.google.com/source-repositories/docs/release-notes,
GCP,org_maturity,How many zero-days did GTIG track as exploited in the wild in 2024?,GTIG tracked 75-78 zero-days exploited in 2024.,refuted,The official GTIG figure is 75 zero-days exploited in the wild in 2024 (down from 98 in 2023). The '78' upper bound is incorrect; use '75'. Drop the range and state 75.,https://cloud.google.com/blog/topics/threat-intelligence/2024-zero-day-trends,true
GCP,org_maturity,"Did the dedicated Google Cloud VRP launch 18 Oct 2024 with a $101,010 top reward, and are the 2025 payout figures right?","Google Cloud VRP launched 18 Oct 2024 with a top reward of $101,010 and 150+ products in the top tiers; Google paid >$17M in 2025 to 700+ researchers (record, 40%+ YoY).",confirmed,"Confirmed with a scope nuance. The Cloud VRP launched Oct 18, 2024, top reward $101,010, covering 460+ products/services with 140+ eligible for top-tier rewards and 150+ products under the top two reward tiers. 2025 payouts: $17.1M to 747 researchers, a record and ~40% YoY increase. 'Top tiers' phrasing is fine; if precise, ~140 products are in the single top tier / 150+ in the top two tiers.",https://cloud.google.com/blog/products/identity-security/google-cloud-launches-new-vulnerability-rewards-program,
GCP,org_maturity,Is Access Transparency opt-in (not default-on) and does it require a paid support tier to enable?,"Access Transparency is OPT-IN, not default-on, and requires at least Standard/Enhanced/Premium paid support to enable.",outdated,"Partially outdated. The support-tier prerequisite is still correct: enabling Access Transparency requires Standard, Enhanced, or Premium customer support. But Google's current docs now frame it as 'a default security control for every Google Cloud organization,' so the flat 'OPT-IN, not default-on' characterization is contestable. State it as: AxT is positioned as a default security control but still requires an enablement action and a paid support tier (Standard/Enhanced/Premium).",https://docs.cloud.google.com/assured-workloads/access-transparency/docs/enable,true
GCP,org_maturity,Is Public Access Prevention enforced by default for new Cloud Storage buckets?,Public Access Prevention is default-enforced for new buckets.,refuted,"Refuted. A new bucket's publicAccessPrevention setting defaults to 'inherited,' meaning PAP applies only if a parent org policy (storage.publicAccessPrevention) enforces it. PAP is NOT enforced by default at the bucket level. Note: Google's secure-by-default org policies for orgs created in 2024+ include uniformBucketLevelAccess, disableServiceAccountKeyCreation, and the no-automatic-Editor-grant constraint, but NOT publicAccessPrevention. The default-on storage control to cite instead is Uniform Bucket-Level Access for new orgs.",https://docs.cloud.google.com/storage/docs/public-access-prevention,true
GCP,org_maturity,Are Data Access audit logs off by default except for BigQuery?,Data Access audit logs are off by default except BigQuery.,confirmed,Confirmed. Data Access audit logs are disabled by default for all services except BigQuery; BigQuery Data Access logs are always on and cannot be disabled. Other services must be explicitly enabled (ADMIN_READ/DATA_READ/DATA_WRITE).,https://docs.cloud.google.com/logging/docs/audit,
GCP,org_maturity,Is Shielded VM default-on for Compute Engine?,Shielded VM is default-on.,confirmed,"Confirmed with nuance. Shielded VM is the default for Compute Engine; vTPM and integrity monitoring are enabled by default, but Secure Boot is NOT enabled by default (compatibility with unsigned drivers). If the draft asserts full Shielded VM-by-default, qualify that Secure Boot remains opt-in.",https://cloud.google.com/blog/products/identity-security/security-simplified-making-shielded-vm-default-compute-engine,
GCP,org_maturity,Is the automatic Editor grant to the Compute Engine default service account still default behavior?,The Compute Engine default service account is automatically granted the Editor role (default behavior to be aware of).,outdated,"For organizations created after May 3, 2024, the iam.automaticIamGrantsForDefaultServiceAccounts constraint is enforced by default, so the default service account is NOT automatically granted Editor. The legacy automatic-Editor-grant behavior persists only for older organizations / projects not covered by the constraint. Any claim that new GCP orgs auto-grant Editor to the default SA is stale.",https://cloud.google.com/iam/docs/service-account-types,true
GCP,org_maturity,Is Binary Authorization for Cloud Run GA?,Binary Authorization for Cloud Run is available/GA.,confirmed,"Confirmed. Binary Authorization for Cloud Run is generally available (GA since September 28, 2021) and provided free of charge.",https://docs.cloud.google.com/binary-authorization/docs/release-notes,
GCP,org_maturity,Is Confidential VM with Intel TDX GA?,Confidential VM / TDX is GA.,confirmed,"Confirmed. Confidential VM with Intel TDX is GA on the C3 machine series (since ~September 2024), expanded across multiple regions; Confidential GKE Nodes with Intel TDX and Confidential VM/GKE with NVIDIA H100 on A3 are also GA.",https://cloud.google.com/blog/products/identity-security/from-clicks-to-clusters-confidential-computing-expands-with-intel-tdx,
GCP,org_maturity,Is Developer Connect GA?,Developer Connect exists as a CSR replacement (implied current/GA).,confirmed,"Confirmed. Developer Connect is GA, supporting GitHub, GitHub Enterprise (Cloud and self-hosted), GitLab and GitLab Enterprise, with Gemini Code Assist integration.",https://docs.cloud.google.com/developer-connect/docs/release-notes,
GCP,org_maturity,Has Chronicle been renamed to Google Security Operations (Google SecOps)?,Google Security Operations / Chronicle naming (current branding).,confirmed,"Confirmed. Chronicle Security Operations was rebranded to Google Security Operations (Google SecOps) on April 25, 2024. Use 'Google Security Operations (Google SecOps), formerly Chronicle.'",https://cloud.google.com/security/products/security-operations,
GCP,org_maturity,Does Google Cloud publish structured Security Bulletins with GCP-YYYY-NNN IDs and a subscribable XML feed at the cited URL?,"Google Cloud publishes Security Bulletins with stable IDs (e.g., GCP-2026-034), CVE links, affected products (GKE, Compute Engine, Cloud Run, Apigee), plus a subscribable XML feed at cloud.google.com/feeds/google-cloud-security-bulletins.xml.",confirmed,"Confirmed verbatim. The feed is a valid Atom/XML feed (URL now resolves under docs.cloud.google.com via 301), IDs follow GCP-YYYY-NNN, and GCP-2026-034 is a real bulletin (Apigee SSRF, May 20, 2026). Affected products include GKE, GDC, Container-Optimized OS, Apigee, etc. The exact example ID in the draft checks out.",https://docs.cloud.google.com/feeds/google-cloud-security-bulletins.xml,
GCP,org_maturity,"Has Google Cloud reached FedRAMP High on 100+ additional commercial services including AI services, across nine US regions?","FedRAMP High expanded to 100+ additional commercial services including Vertex AI Search, Generative AI on Vertex AI, Vertex AI Vector Search, Agent Assist, Agentspace, Cloud Build, Cloud Run; nine US regions.",confirmed,"Confirmed. 100+ additional commercial services authorized at FedRAMP High (initial wave May 2024, AI services through 2025), nine US regions, Vertex AI Search / Generative AI on Vertex AI / Vertex AI Vector Search / Agent Assist among them, many surfaced via Assured Workloads.",https://cloud.google.com/blog/topics/public-sector/vertex-ai-search-and-generative-ai-with-gemini-achieve-fedramp-high,
GCP,org_maturity,Are the Alphabet Q1 2026 financial figures in the draft accurate?,"Q1 2026 revenue $109.9B, net income $62.6B, operating cash flow $45.8B, ~$213.8B current assets, 2026 capex guidance raised to $180-190B, Google Cloud +~63% YoY, long-term debt ~$77.5B.",confirmed,"Confirmed against the Q1 2026 8-K/10-Q. Total revenue $109.9B; net income $62.6B (incl. one-time equity gain); operating cash flow $45.79B (~$45.8B); Google Cloud revenue $20.03B vs $12.26B = +63% YoY; 2026 capex guidance raised to $180-190B; long-term debt rose to $77.5B (from $46.5B, after ~$29.5B notes issuance). The ~$213.8B current-assets figure was not directly re-verified from the primary balance sheet (SEC HTML 403'd) but the other figures all reconcile, so it is treated as plausible/uncontradicted rather than independently confirmed.",https://www.sec.gov/Archives/edgar/data/0001652044/000165204426000048/goog-20260331.htm,
